task_id,warning_index,warning,imported_at
00113ac5-d12a-402a-b709-a2db02eea12c,1,单行/空壳表格比例偏高，建议用中间 JSON 和页面截图复核表格漏识别。,2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,2,发现 30 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:50:36.522022+00
0f6bcacd-b4c5-44dc-975c-28728e40eb8d,1,发现 9 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:50:41.995948+00
1a8c3ca8-3b04-4556-9c7b-7fd4d9c4101f,1,发现 5 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:50:45.088193+00
1bfff2c9-bbbe-47fb-a5d5-a0252392a742,1,发现 7 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:50:45.370229+00
22ec7e69-31c4-487e-a8c9-0de4f0b43d6b,1,发现 5 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:50:47.273018+00
571baa26-c2e7-4647-8810-ea73e715920a,1,发现 11 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:50:57.215509+00
5bf87bcd-5ff1-4c82-aba4-4bbe057e6450,1,发现 16 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:50:57.427278+00
5ca20214-360c-4849-a455-eabc65ea2c90,1,发现 4 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:50:57.638865+00
7b8d28e6-8db0-4dae-9a69-2d004d3457af,1,发现 4 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:04.466044+00
7c3ae503-f78d-442e-b391-3eadf4fda17e,1,发现 3 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:04.847043+00
7f80cc1c-1533-4a52-857d-8b9c6f7c7009,1,发现 30 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:05.636173+00
81c2bc2f-21db-4785-b7db-d30e359063d1,1,发现 15 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:06.570285+00
8e4b4f51-5241-4fb4-be3e-c7edd33b7cad,1,发现 30 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:09.746469+00
9292da4e-0081-4378-81a1-685fad02d5a9,1,发现 21 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:10.826488+00
9b7f6636-519f-42be-affb-2b5bd8571d8d,1,发现 30 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:12.581944+00
a65972d0-aa69-4b76-82ef-a0fc2c030240,1,发现 24 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-18 10:10:58.661458+00
b48e4c3b-91c4-47ca-8e32-d14bb4174ea1,1,发现 17 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:19.949586+00
cc54d88c-dcf9-4122-968b-9d7648876b79,1,发现 30 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:26.637327+00
d2a891e9-50e7-4887-ad6e-b0f9b79b403a,1,发现 23 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:28.331353+00
f0b7c568-feb1-4716-a09e-3199af7651fa,1,发现 30 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:35.16849+00
f4dead73-e0de-42b4-b1b7-d8cf217214ee,1,发现 10 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:36.772944+00
fa891b66-f881-47cc-ad24-bfb8081d5ded,1,发现 23 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:38.634879+00
feee329b-01dc-499e-8863-749b9e2e5d6e,1,发现 30 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。,2026-05-16 03:51:40.808227+00
